scenario_id,baseline_target_id,candidate_present,internally_stable,scenario_target_id,total_score,rank,rank_percentile,centroid_shift_m,geometry_coverage,stable_geometry_coverage,geometry_present_25,geometry_present_50,stable_geometry_present_25
matching_tight,T044,True,False,T032,0.4964812742122045,17.0,0.6734693877551021,394.73684210591017,1.0,0.0,True,True,False
matching_tight,T045,True,False,T035,0.4658177666659006,32.0,0.36734693877551017,5474.378582236579,0.4444444444444444,0.0,True,False,False
matching_tight,T046,True,True,T039,0.5175282552611965,11.0,0.7959183673469388,2531.7977802368605,1.0,0.65,True,True,True
matching_tight,T047,True,False,T036,0.49229833292247,19.0,0.6326530612244898,685.160159703768,0.9444444444444444,0.0,True,True,False
matching_tight,T048,True,True,T038,0.5472932900986838,2.0,0.9795918367346939,0.0,1.0,1.0,True,True,True
matching_tight,T049,True,False,T037,0.458207931552044,40.0,0.20408163265306123,4597.704741378639,0.7777777777777778,0.0,True,True,False
matching_tight,T050,False,False,,,,,,0.9,0.1,True,True,False
matching_tight,T051,True,True,T040,0.5128383300220544,12.0,0.7755102040816326,5636.488268415938,1.0,0.375,True,True,True
matching_tight,T052,True,False,T041,0.4599053540004498,36.0,0.2857142857142857,1204.1594578758265,0.8,0.0,True,True,False
matching_tight,T053,True,True,T046,0.5382806150988055,5.0,0.9183673469387755,3578.0581325637495,1.0,0.45,True,True,True
matching_tight,T054,True,False,T047,0.4547704347002543,44.0,0.12244897959183676,3889.890743966982,1.0,0.5,True,True,True
matching_tight,T055,True,False,T042,0.4517838946708602,47.0,0.061224489795918324,3955.316833074185,0.625,0.0,True,True,False
matching_tight,T056,True,True,T045,0.5230602231039533,8.0,0.8571428571428572,8833.333877766887,0.9473684210526315,0.21052631578947367,True,True,False
matching_tight,T057,True,False,T048,0.4742759741288481,25.0,0.5102040816326531,1321.9111088092354,0.9285714285714286,0.07142857142857142,True,True,False
matching_tight,T058,True,False,T049,0.4709155318362263,29.0,0.4285714285714286,4354.952834051963,0.75,0.0,True,True,False
matching_tight,T059,True,False,T050,0.4964956727049632,16.0,0.6938775510204082,3920.62091282067,0.6428571428571429,0.0,True,True,False
matching_loose,T001,False,False,,,,,,0.0,0.0,False,False,False
matching_loose,T002,False,False,,,,,,0.0,0.0,False,False,False
