centroid_x,centroid_y,period_count,supporting_periods,node_ids_json,network_criticality,removal_impact,period_persistence,parameter_stability,total_score,any_top20,ambiguous_match_count,match_id,geometry_wkt
15398438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1051, ""海西期"": 1376}",0.7782583269191913,0.0,0.5,1.0,0.5473904144217169,True,0,M03339,"POLYGON ((15397126.94 5022944.148, 15400126.94 5022944.148, 15400126.94 5019944.148, 15397126.94 5019944.148, 15397126.94 5022944.148))"
15401438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1100, ""海西期"": 1437}",0.7877932436776058,0.0,0.5,1.0,0.5507276352871621,True,0,M03340,"POLYGON ((15400126.94 5022944.148, 15403126.94 5022944.148, 15403126.94 5019944.148, 15400126.94 5019944.148, 15400126.94 5022944.148))"
15404438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1149, ""海西期"": 1498}",0.7911375310423083,0.0,0.5,1.0,0.5518981358648078,True,0,M03341,"POLYGON ((15403126.94 5022944.148, 15406126.94 5022944.148, 15406126.94 5019944.148, 15403126.94 5019944.148, 15403126.94 5022944.148))"
15407438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1198, ""海西期"": 1559}",0.7939916725087834,0.0,0.5,1.0,0.5528970853780741,True,0,M03342,"POLYGON ((15406126.94 5022944.148, 15409126.94 5022944.148, 15409126.94 5019944.148, 15406126.94 5019944.148, 15406126.94 5022944.148))"
15410438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1247, ""海西期"": 1620}",0.791592405377354,0.0,0.5,1.0,0.5520573418820739,True,0,M03343,"POLYGON ((15409126.94 5022944.148, 15412126.94 5022944.148, 15412126.94 5019944.148, 15409126.94 5019944.148, 15409126.94 5022944.148))"
15413438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1296, ""海西期"": 1681}",0.7860361418371475,0.0,0.5,1.0,0.5501126496430017,True,0,M03344,"POLYGON ((15412126.94 5022944.148, 15415126.94 5022944.148, 15415126.94 5019944.148, 15412126.94 5019944.148, 15412126.94 5022944.148))"
15416438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1345, ""海西期"": 1742}",0.7834384765151874,0.0,0.5,1.0,0.5492034667803155,True,0,M03345,"POLYGON ((15415126.94 5022944.148, 15418126.94 5022944.148, 15418126.94 5019944.148, 15415126.94 5019944.148, 15415126.94 5022944.148))"
15419438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1394, ""海西期"": 1803}",0.7775193302193283,0.0,0.5,1.0,0.5471317655767649,True,0,M03346,"POLYGON ((15418126.94 5022944.148, 15421126.94 5022944.148, 15421126.94 5019944.148, 15418126.94 5019944.148, 15418126.94 5022944.148))"
15422438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1443, ""海西期"": 1864}",0.7657632799101712,0.0,0.5,0.6666666666666666,0.4930171479685599,True,0,M03347,"POLYGON ((15421126.94 5022944.148, 15424126.94 5022944.148, 15424126.94 5019944.148, 15421126.94 5019944.148, 15421126.94 5022944.148))"
15425438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1492, ""海西期"": 1925}",0.7575884945165676,0.0,0.5,0.5,0.46515597308079865,True,0,M03348,"POLYGON ((15424126.94 5022944.148, 15427126.94 5022944.148, 15427126.94 5019944.148, 15424126.94 5019944.148, 15424126.94 5022944.148))"
