baseline_target_id,centroid_x,centroid_y,baseline_score,baseline_evidence_status,scenario_count,matched_scenario_count,candidate_occurrence_frequency,centroid_match_occurrence_frequency,geometry_occurrence_frequency_25,geometry_occurrence_frequency_50,internally_stable_occurrence_frequency,internally_stable_geometry_occurrence_frequency_25,geometry_coverage_mean,geometry_coverage_q05,score_q05,score_median,score_q95,rank_q05,rank_median,rank_q95,rank_percentile_q05,rank_percentile_median,rank_percentile_q95,centroid_shift_q50_m,centroid_shift_q95_m,robustness_tier,decision_tier
T031,15442538.105,5031584.432499999,0.4621566421262938,internal_partial,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.6666666666666666,0.0,0.0,1.0,0.0,0.45327523761009453,0.4621566421262938,0.521715694504487,26.0,49.0,79.19999999999999,0.022499999999999992,0.4,0.6665422885572136,0.0,6033.850457170242,robust_occurrence,recurring_unstable_candidate
T032,15410938.105000002,5030384.4325,0.5376241091289862,internal_supported,15,12,0.8666666666666667,0.8,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333,1.0,0.0,0.5236330752202161,0.5376241091289862,0.5605722436296705,1.55,5.0,9.149999999999995,0.9032446808510638,0.95,0.993125,0.0,4155.991593868773,robust_occurrence,recurring_but_grade_sensitive
T033,15417938.105,5030384.4325,0.5103366945775107,internal_partial,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.2,1.0,0.0,0.50646544935517,0.5103366945775107,0.5576569848198137,7.6000000000000005,17.0,31.799999999999976,0.62,0.8,0.8990126291618827,0.0,4780.991753743163,robust_occurrence,recurring_unstable_candidate
T034,15454976.566538457,5028999.817115383,0.494720620105632,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.2,1.0,0.0,0.483969186302795,0.494720620105632,0.5543237417349708,17.4,22.0,36.599999999999994,0.5274299235529669,0.7375,0.8125,0.0,6369.06345384011,robust_occurrence,recurring_unstable_candidate
T035,15383438.105,5027384.4325,0.4880709665243965,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.13333333333333333,1.0,0.0,0.46418546074306355,0.4880709665243965,0.5209668405974851,24.3,27.0,60.599999999999966,0.17761194029850746,0.675,0.7309175531914892,0.0,5028.675189645156,robust_occurrence,recurring_unstable_candidate
T036,15434738.105,5027384.432499999,0.4455201239414179,internal_partial,15,12,0.8,0.8,0.8,0.7333333333333333,0.0,0.0,1.0,0.0,0.44175310253091743,0.4455201239414179,0.45254297836307417,56.3,72.0,83.9,0.10401441070509519,0.11250000000000004,0.20395833333333327,0.0,5533.853941299574,robust_occurrence,recurring_unstable_candidate
T037,15372938.105,5025884.4325,0.4403037419542187,internal_partial,15,12,0.8,0.8,0.8,0.7333333333333333,0.0,0.0,1.0,0.0,0.4393833697930921,0.4403037419542187,0.5188927418647051,72.7,80.0,86.5,0.012499999999999956,0.012499999999999956,0.184717987804878,0.0,3620.454513095789,robust_occurrence,recurring_unstable_candidate
T038,15395738.105,5025284.432499999,0.4903312544698785,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.2,0.26666666666666666,1.0,0.0,0.48086325285027653,0.4903312544698785,0.5512524961858069,16.1,23.0,39.59999999999998,0.5661890243902439,0.725,0.7728358208955224,0.0,2917.206472927459,robust_occurrence,recurring_unstable_candidate
T039,15447188.105,5025134.4325,0.5182661236830615,internal_supported,15,13,0.8,0.8666666666666667,0.8,0.8,0.6666666666666666,0.6,1.0,0.0,0.4796692406551249,0.5182661236830615,0.5464118092536148,3.0,13.0,30.199999999999996,0.635,0.85,0.9695981630309989,0.0,4666.267026243035,robust_occurrence,recurring_but_grade_sensitive
T040,15463238.105,5023784.4325,0.4887662303159955,internal_partial,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.13333333333333333,1.0,0.0,0.47956433082799615,0.4887662303159955,0.5345519307646976,7.6,26.0,34.59999999999998,0.6375,0.6875,0.8995637198622273,0.0,4744.831336423902,robust_occurrence,recurring_unstable_candidate
T041,15426438.104999997,5023184.4325,0.4617116781255723,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.4526519902899324,0.4617116781255723,0.5234971301322353,33.6,51.0,64.1,0.1650516647531573,0.375,0.47880571909167335,1.862645149230957e-09,4048.772920976006,robust_occurrence,recurring_unstable_candidate
T042,15406538.105,5023184.432499999,0.5304148449409158,internal_supported,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.0,0.5190044596700315,0.5304148449409158,0.5726008373285238,3.1,8.0,18.0,0.7727884615384616,0.9125,0.974390243902439,1.862645149230957e-09,5957.787873376899,robust_occurrence,high_confidence_internal
T043,15481892.650454544,5020838.977954545,0.4571475060222483,internal_partial,15,13,0.8,0.8666666666666667,0.8,0.8,0.0,0.0,1.0,0.0,0.4528909670051877,0.4571475060222483,0.47765629963531864,47.6,58.0,63.99999999999998,0.2265793780687398,0.2875,0.3774999999999999,0.0,3335.2431022660994,robust_occurrence,recurring_unstable_candidate
T044,15471938.105000002,5020384.4325,0.4453375699831221,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8,0.0,0.0,1.0,0.0,0.4452920581328518,0.4453375699831221,0.5192133333830262,44.400000000000006,73.0,76.89999999999999,0.03595866819747417,0.09999999999999998,0.39817073170731654,0.0,4626.626734860092,robust_occurrence,recurring_unstable_candidate
T045,15415538.105,5020184.432499999,0.514262097832801,internal_supported,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.6,0.7333333333333333,1.0,0.0,0.48332959300182127,0.514262097832801,0.5639583952056864,12.9,15.0,31.199999999999996,0.5447072330654421,0.825,0.8520909757887014,0.0,5245.831229774815,robust_occurrence,recurring_but_grade_sensitive
T046,15455438.105000002,5018813.003928572,0.4824774251549964,internal_partial,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.0,0.13333333333333333,1.0,0.0,0.47986898059263194,0.4824774251549964,0.5376102985086852,20.8,32.0,44.19999999999998,0.466219512195122,0.6125,0.7489942528735632,0.0,4560.497625594441,robust_occurrence,recurring_unstable_candidate
T047,15400938.105000002,5018384.4325,0.5106483166330199,internal_supported,15,14,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.6,0.8,1.0,0.0,0.49596276052601973,0.5106483166330199,0.5710384905822682,13.65,16.0,20.7,0.7325480769230769,0.8125,0.847217987804878,0.0,5414.473147701107,robust_occurrence,high_confidence_internal
T048,15374813.105,5017259.4325,0.4480758958602744,internal_partial,15,13,0.8,0.8666666666666667,0.8,0.8,0.0,0.06666666666666667,1.0,0.0,0.44592384052570294,0.4480758958602744,0.5101197792164772,42.8,67.0,76.19999999999999,0.17396551724137935,0.17500000000000004,0.42679104477611934,0.0,3986.7210462628245,robust_occurrence,recurring_unstable_candidate
T049,15385538.105,5016584.432499999,0.5487129577207815,internal_supported,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.8,1.0,0.0,0.5375467234760515,0.5487129577207815,0.5829452001460855,1.0,1.0,12.799999999999972,0.8471669793621013,1.0,1.0,0.0,4356.026648507224,robust_occurrence,high_confidence_internal
T050,15421938.105000002,5015384.4325,0.4591167488160987,internal_partial,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.45910767222074816,0.4591167488160987,0.5341198337657966,38.6,55.0,57.39999999999999,0.3203731343283582,0.32499999999999996,0.5533333333333329,0.0,5547.250616232318,robust_occurrence,recurring_unstable_candidate
T051,15462038.105,5014184.4325,0.5226166102948395,internal_supported,15,14,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8,0.6666666666666666,1.0,0.0,0.5045160420631671,0.5226166102948395,0.5658810054021232,7.65,10.0,27.14999999999999,0.6479268292682927,0.8875,0.916875,0.0,3524.8223679246034,robust_occurrence,recurring_but_grade_sensitive
T052,15446438.105,5013884.4325,0.5220964335157148,internal_supported,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8,0.8666666666666667,0.7333333333333333,1.0,0.0,0.4973544348042469,0.5220964335157148,0.5703191487465809,7.0,11.0,38.59999999999995,0.5772103658536585,0.875,0.9050862068965517,0.0,4234.537420614801,robust_occurrence,recurring_but_grade_sensitive
T053,15429438.105,5012384.4325,0.4497405040881664,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.4497382349393288,0.4534910019793394,0.52766573403496,32.6,65.0,67.69999999999999,0.12755453501722155,0.19999999999999996,0.5660823170731701,1.862645149230957e-09,4951.307994208599,robust_occurrence,recurring_unstable_candidate
T054,15481771.438333333,5012384.4325,0.4461531321279642,internal_partial,15,14,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8,0.0,0.0,1.0,0.0,0.44604035948955545,0.4461531321279642,0.5146222496278332,51.65,70.0,75.5,0.12874999999999998,0.13749999999999996,0.26791158536585363,0.0,4459.666212620525,robust_occurrence,recurring_unstable_candidate
