vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(N_BA)Number of branch faults per unit area,6(N_LA)The number of fault lines per unit area
15335475.39,5109890.548,15338475.39,5109890.548,15338475.39,5106890.548,15335475.39,5106890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5106890.548,15338475.39,5106890.548,15338475.39,5103890.548,15335475.39,5103890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5103890.548,15338475.39,5103890.548,15338475.39,5100890.548,15335475.39,5100890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5100890.548,15338475.39,5100890.548,15338475.39,5097890.548,15335475.39,5097890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5097890.548,15338475.39,5097890.548,15338475.39,5094890.548,15335475.39,5094890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5094890.548,15338475.39,5094890.548,15338475.39,5091890.548,15335475.39,5091890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5091890.548,15338475.39,5091890.548,15338475.39,5088890.548,15335475.39,5088890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5088890.548,15338475.39,5088890.548,15338475.39,5085890.548,15335475.39,5085890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5085890.548,15338475.39,5085890.548,15338475.39,5082890.548,15335475.39,5082890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5082890.548,15338475.39,5082890.548,15338475.39,5079890.548,15335475.39,5079890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5079890.548,15338475.39,5079890.548,15338475.39,5076890.548,15335475.39,5076890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5076890.548,15338475.39,5076890.548,15338475.39,5073890.548,15335475.39,5073890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5073890.548,15338475.39,5073890.548,15338475.39,5070890.548,15335475.39,5070890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5070890.548,15338475.39,5070890.548,15338475.39,5067890.548,15335475.39,5067890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5067890.548,15338475.39,5067890.548,15338475.39,5064890.548,15335475.39,5064890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5064890.548,15338475.39,5064890.548,15338475.39,5061890.548,15335475.39,5061890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5061890.548,15338475.39,5061890.548,15338475.39,5058890.548,15335475.39,5058890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5058890.548,15338475.39,5058890.548,15338475.39,5055890.548,15335475.39,5055890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5055890.548,15338475.39,5055890.548,15338475.39,5052890.548,15335475.39,5052890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5052890.548,15338475.39,5052890.548,15338475.39,5049890.548,15335475.39,5049890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5049890.548,15338475.39,5049890.548,15338475.39,5046890.548,15335475.39,5046890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5046890.548,15338475.39,5046890.548,15338475.39,5043890.548,15335475.39,5043890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5043890.548,15338475.39,5043890.548,15338475.39,5040890.548,15335475.39,5040890.548,63515106.93,0,0,0,8013.133645,8013.133645,0,0,0,0,1.010945489,,0.000126161,,0.000126161,0,1,0,1,8013.133645,8013.133645,8013.133645,0,0,0,0,0,0
15335475.39,5040890.548,15338475.39,5040890.548,15338475.39,5037890.548,15335475.39,5037890.548,63515106.93,7.87E-09,7.87E-09,17784.55204,85.08294833,8807.193071,0,0,0,2.48988238,0.622470595,,0.000140003,,0.000140003,0.5,2,0.5,2,4446.13801,85.08294833,8807.193071,0,0,1,0,7.87E-09,31757553.47
